home_team,away_team,home_score,home_penalty,away_score,away_penalty,Year,Round,Winner
France,Croatia,4,NA,2,NA,2018,Final,France
Belgium,England,2,NA,0,NA,2018,Third-place match,Belgium
Croatia,England,2,NA,1,NA,2018,Semi-finals,Croatia
France,Belgium,1,NA,0,NA,2018,Semi-finals,France
Sweden,England,0,NA,2,NA,2018,Quarter-finals,England
Russia,Croatia,2,3,2,4,2018,Quarter-finals,Tie
Uruguay,France,0,NA,2,NA,2018,Quarter-finals,France
Brazil,Belgium,1,NA,2,NA,2018,Quarter-finals,Belgium
Sweden,Switzerland,1,NA,0,NA,2018,Round of 16,Sweden
Colombia,England,1,3,1,4,2018,Round of 16,Tie
Brazil,Mexico,2,NA,0,NA,2018,Round of 16,Brazil
Belgium,Japan,3,NA,2,NA,2018,Round of 16,Belgium
Spain,Russia,1,3,1,4,2018,Round of 16,Tie
Croatia,Denmark,1,3,1,2,2018,Round of 16,Tie
France,Argentina,4,NA,3,NA,2018,Round of 16,France
Uruguay,Portugal,2,NA,1,NA,2018,Round of 16,Uruguay
Japan,Poland,0,NA,1,NA,2018,Group stage,Poland
Senegal,Colombia,0,NA,1,NA,2018,Group stage,Colombia
England,Belgium,0,NA,1,NA,2018,Group stage,Belgium
Panama,Tunisia,1,NA,2,NA,2018,Group stage,Tunisia
Korea Republic,Germany,2,NA,0,NA,2018,Group stage,Korea Republic
Mexico,Sweden,0,NA,3,NA,2018,Group stage,Sweden
Switzerland,Costa Rica,2,NA,2,NA,2018,Group stage,Tie
Serbia,Brazil,0,NA,2,NA,2018,Group stage,Brazil
Australia,Peru,0,NA,2,NA,2018,Group stage,Peru
Denmark,France,0,NA,0,NA,2018,Group stage,Tie
Iceland,Croatia,1,NA,2,NA,2018,Group stage,Croatia
Nigeria,Argentina,1,NA,2,NA,2018,Group stage,Argentina
Saudi Arabia,Egypt,2,NA,1,NA,2018,Group stage,Saudi Arabia
Uruguay,Russia,3,NA,0,NA,2018,Group stage,Uruguay
Spain,Morocco,2,NA,2,NA,2018,Group stage,Tie
IR Iran,Portugal,1,NA,1,NA,2018,Group stage,Tie
England,Panama,6,NA,1,NA,2018,Group stage,England
Japan,Senegal,2,NA,2,NA,2018,Group stage,Tie
Poland,Colombia,0,NA,3,NA,2018,Group stage,Colombia
Belgium,Tunisia,5,NA,2,NA,2018,Group stage,Belgium
Korea Republic,Mexico,1,NA,2,NA,2018,Group stage,Mexico
Germany,Sweden,2,NA,1,NA,2018,Group stage,Germany
Brazil,Costa Rica,2,NA,0,NA,2018,Group stage,Brazil
Nigeria,Iceland,2,NA,0,NA,2018,Group stage,Nigeria
Serbia,Switzerland,1,NA,2,NA,2018,Group stage,Switzerland
Denmark,Australia,1,NA,1,NA,2018,Group stage,Tie
France,Peru,1,NA,0,NA,2018,Group stage,France
Argentina,Croatia,0,NA,3,NA,2018,Group stage,Croatia
Portugal,Morocco,1,NA,0,NA,2018,Group stage,Portugal
Uruguay,Saudi Arabia,1,NA,0,NA,2018,Group stage,Uruguay
IR Iran,Spain,0,NA,1,NA,2018,Group stage,Spain
Colombia,Japan,1,NA,2,NA,2018,Group stage,Japan
Poland,Senegal,1,NA,2,NA,2018,Group stage,Senegal
Russia,Egypt,3,NA,1,NA,2018,Group stage,Russia
Sweden,Korea Republic,1,NA,0,NA,2018,Group stage,Sweden
Belgium,Panama,3,NA,0,NA,2018,Group stage,Belgium
Tunisia,England,1,NA,2,NA,2018,Group stage,England
Costa Rica,Serbia,0,NA,1,NA,2018,Group stage,Serbia
Germany,Mexico,0,NA,1,NA,2018,Group stage,Mexico
Brazil,Switzerland,1,NA,1,NA,2018,Group stage,Tie
France,Australia,2,NA,1,NA,2018,Group stage,France
Argentina,Iceland,1,NA,1,NA,2018,Group stage,Tie
Peru,Denmark,0,NA,1,NA,2018,Group stage,Denmark
Croatia,Nigeria,2,NA,0,NA,2018,Group stage,Croatia
Egypt,Uruguay,0,NA,1,NA,2018,Group stage,Uruguay
Morocco,IR Iran,0,NA,1,NA,2018,Group stage,IR Iran
Portugal,Spain,3,NA,3,NA,2018,Group stage,Tie
Russia,Saudi Arabia,5,NA,0,NA,2018,Group stage,Russia
Germany,Argentina,1,NA,0,NA,2014,Final,Germany
Brazil,Netherlands,0,NA,3,NA,2014,Third-place match,Netherlands
Netherlands,Argentina,0,2,0,4,2014,Semi-finals,Tie
Brazil,Germany,1,NA,7,NA,2014,Semi-finals,Germany
Argentina,Belgium,1,NA,0,NA,2014,Quarter-finals,Argentina
Netherlands,Costa Rica,0,4,0,3,2014,Quarter-finals,Tie
France,Germany,0,NA,1,NA,2014,Quarter-finals,Germany
Brazil,Colombia,2,NA,1,NA,2014,Quarter-finals,Brazil
Argentina,Switzerland,1,NA,0,NA,2014,Round of 16,Argentina
Belgium,United States,2,NA,1,NA,2014,Round of 16,Belgium
France,Nigeria,2,NA,0,NA,2014,Round of 16,France
Germany,Algeria,2,NA,1,NA,2014,Round of 16,Germany
Netherlands,Mexico,2,NA,1,NA,2014,Round of 16,Netherlands
Costa Rica,Greece,1,5,1,3,2014,Round of 16,Tie
Brazil,Chile,1,3,1,2,2014,Round of 16,Tie
Colombia,Uruguay,2,NA,0,NA,2014,Round of 16,Colombia
United States,Germany,0,NA,1,NA,2014,Group stage,Germany
Portugal,Ghana,2,NA,1,NA,2014,Group stage,Portugal
Korea Republic,Belgium,0,NA,1,NA,2014,Group stage,Belgium
Algeria,Russia,1,NA,1,NA,2014,Group stage,Tie
Bosnia and Herzegovina,IR Iran,3,NA,1,NA,2014,Group stage,Bosnia and Herzegovina
Nigeria,Argentina,2,NA,3,NA,2014,Group stage,Argentina
Honduras,Switzerland,0,NA,3,NA,2014,Group stage,Switzerland
Ecuador,France,0,NA,0,NA,2014,Group stage,Tie
Costa Rica,England,0,NA,0,NA,2014,Group stage,Tie
Italy,Uruguay,0,NA,1,NA,2014,Group stage,Uruguay
Japan,Colombia,1,NA,4,NA,2014,Group stage,Colombia
Greece,Côte d'Ivoire,2,NA,1,NA,2014,Group stage,Greece
Australia,Spain,0,NA,3,NA,2014,Group stage,Spain
Netherlands,Chile,2,NA,0,NA,2014,Group stage,Netherlands
Croatia,Mexico,1,NA,3,NA,2014,Group stage,Mexico
Cameroon,Brazil,1,NA,4,NA,2014,Group stage,Brazil
Belgium,Russia,1,NA,0,NA,2014,Group stage,Belgium
Korea Republic,Algeria,2,NA,4,NA,2014,Group stage,Algeria
United States,Portugal,2,NA,2,NA,2014,Group stage,Tie
Argentina,IR Iran,1,NA,0,NA,2014,Group stage,Argentina
Germany,Ghana,2,NA,2,NA,2014,Group stage,Tie
Nigeria,Bosnia and Herzegovina,1,NA,0,NA,2014,Group stage,Nigeria
Italy,Costa Rica,0,NA,1,NA,2014,Group stage,Costa Rica
Switzerland,France,2,NA,5,NA,2014,Group stage,France
Honduras,Ecuador,1,NA,2,NA,2014,Group stage,Ecuador
Colombia,Côte d'Ivoire,2,NA,1,NA,2014,Group stage,Colombia
Uruguay,England,2,NA,1,NA,2014,Group stage,Uruguay
Japan,Greece,0,NA,0,NA,2014,Group stage,Tie
Australia,Netherlands,2,NA,3,NA,2014,Group stage,Netherlands
Spain,Chile,0,NA,2,NA,2014,Group stage,Chile
Cameroon,Croatia,0,NA,4,NA,2014,Group stage,Croatia
Belgium,Algeria,2,NA,1,NA,2014,Group stage,Belgium
Brazil,Mexico,0,NA,0,NA,2014,Group stage,Tie
Russia,Korea Republic,1,NA,1,NA,2014,Group stage,Tie
Germany,Portugal,4,NA,0,NA,2014,Group stage,Germany
IR Iran,Nigeria,0,NA,0,NA,2014,Group stage,Tie
Ghana,United States,1,NA,2,NA,2014,Group stage,United States
Switzerland,Ecuador,2,NA,1,NA,2014,Group stage,Switzerland
France,Honduras,3,NA,0,NA,2014,Group stage,France
Argentina,Bosnia and Herzegovina,2,NA,1,NA,2014,Group stage,Argentina
Colombia,Greece,3,NA,0,NA,2014,Group stage,Colombia
Uruguay,Costa Rica,1,NA,3,NA,2014,Group stage,Costa Rica
England,Italy,1,NA,2,NA,2014,Group stage,Italy
Côte d'Ivoire,Japan,2,NA,1,NA,2014,Group stage,Côte d'Ivoire
Mexico,Cameroon,1,NA,0,NA,2014,Group stage,Mexico
Spain,Netherlands,1,NA,5,NA,2014,Group stage,Netherlands
Chile,Australia,3,NA,1,NA,2014,Group stage,Chile
Brazil,Croatia,3,NA,1,NA,2014,Group stage,Brazil
Netherlands,Spain,0,NA,1,NA,2010,Final,Spain
Uruguay,Germany,2,NA,3,NA,2010,Third-place match,Germany
Germany,Spain,0,NA,1,NA,2010,Semi-finals,Spain
Uruguay,Netherlands,2,NA,3,NA,2010,Semi-finals,Netherlands
Argentina,Germany,0,NA,4,NA,2010,Quarter-finals,Germany
Paraguay,Spain,0,NA,1,NA,2010,Quarter-finals,Spain
Netherlands,Brazil,2,NA,1,NA,2010,Quarter-finals,Netherlands
Uruguay,Ghana,1,4,1,2,2010,Quarter-finals,Tie
Paraguay,Japan,0,5,0,3,2010,Round of 16,Tie
Spain,Portugal,1,NA,0,NA,2010,Round of 16,Spain
Netherlands,Slovakia,2,NA,1,NA,2010,Round of 16,Netherlands
Brazil,Chile,3,NA,0,NA,2010,Round of 16,Brazil
Germany,England,4,NA,1,NA,2010,Round of 16,Germany
Argentina,Mexico,3,NA,1,NA,2010,Round of 16,Argentina
Uruguay,Korea Republic,2,NA,1,NA,2010,Round of 16,Uruguay
United States,Ghana,1,NA,2,NA,2010,Round of 16,Ghana
Portugal,Brazil,0,NA,0,NA,2010,Group stage,Tie
Korea DPR,Côte d'Ivoire,0,NA,3,NA,2010,Group stage,Côte d'Ivoire
Chile,Spain,1,NA,2,NA,2010,Group stage,Spain
Switzerland,Honduras,0,NA,0,NA,2010,Group stage,Tie
